"date","btc_price","btc_market_cap","btc_volume","gold_price"
2021-03-18,59014.925632051,1101028543248.46,63368268626.2783,1725.9
2021-03-19,57922.4095926291,1081065767945.87,58387006275.7283,1735.2
2021-03-22,57573.5393447787,1074356788297.18,55664123837.6026,1736.15
2021-03-23,54370.1375578952,1020641820438.66,62001716794.8435,1726.2
2021-03-24,54584.8699469945,1017637245492.02,60383378707.0485,1730.5
2021-03-25,52526.8665970466,982797427007.256,73029051195.052,1737.3
2021-03-26,51416.90830498,959155260366.741,63401640502.5613,1731.8
2021-03-29,55728.1013278065,1039333584621.14,49315845081.4243,1705.95
2021-03-30,57634.9286944754,1075942162537,57387039705.4713,1683.95
2021-03-31,58668.628336761,1095293012032.84,52387542500.622,1691.05
2021-04-01,58817.3738884188,1098127310946.9,57495844477.9185,1726.05
2021-04-02,58801.1948438781,1098583823874.23,54320681400.5678,1726.05
2021-04-05,58228.8026234662,1087344280109.69,46156767978.1774,1726.05
2021-04-06,58706.815593114,1096202611389.95,54670173277.0873,1744.65
2021-04-07,58062.1787243365,1084341670320.81,61497704158.1383,1738.05
2021-04-08,56134.4173886643,1050759681844.61,67617613532.4331,1755.5
2021-04-09,58065.6440248153,1083362883828.12,48714359354.0723,1741.2
2021-04-12,59988.0209585298,1120606689450.47,46792500386.965,1732.85
2021-04-13,59911.0205948473,1118532902101.53,55994558888.5224,1747.95
2021-04-14,63576.6760410483,1187737045885.17,71993120011.1832,1735.55
2021-04-15,62807.123232593,1173412921929.89,80157135507.589,1757.2
2021-04-16,63179.7724460847,1179561609816.94,60495376851.2807,1774.45
2021-04-19,56288.945340012,1053618163309.58,102065957642.23,1774.5
2021-04-20,55721.1660526956,1043148020633.03,66156275209.7971,1777.85
2021-04-21,56294.7285585869,1055145534127.33,68166802215.7595,1798.2
2021-04-22,54190.070262834,1012699264345.66,56115370322.1406,1787.75
2021-04-23,51965.5664304852,971174701492.849,77897442831.717,1781.8
2021-04-26,48981.4413932161,915533819859.139,46233432154.2253,1773.35
2021-04-27,53978.8055472896,1008389773189.79,60226926859.9165,1784.15
2021-04-28,54991.8148426211,1027617870421.66,48468560013.1379,1772.2
2021-04-29,54810.6138506792,1024625833392.24,48072930663.0145,1762.65
2021-04-30,53596.7040226668,1001973605935.4,46958036373.3603,1767.65
2021-05-03,56600.7452873843,1057850321948.55,39072664393.9294,1767.65
2021-05-04,57200.3002987116,1069571255195.52,54132470274.0751,1797.75
